time,hr_bpm,hr_conf,rr_ms,rr_conf,spo2_pct,spo2_valid,skin_contact
05:03:13.035,69,100,0,0,0,0,3
05:03:13.035,69,100,0,0,0,0,3
05:03:13.132,69,100,0,0,0,0,3
05:03:13.132,69,100,0,0,0,0,3
05:03:13.132,69,100,0,0,0,0,3
05:03:13.278,69,100,0,0,0,0,3
05:03:13.278,69,100,0,0,0,0,3
05:03:13.278,69,100,0,0,0,0,3
05:03:13.376,69,100,0,0,0,0,3
05:03:13.376,69,100,0,0,0,0,3
05:03:13.474,69,100,0,0,0,0,3
05:03:13.474,69,100,0,0,0,0,3
05:03:13.474,69,100,0,0,0,0,3
05:03:13.571,69,100,927,100,0,0,3
05:03:13.571,69,100,0,0,0,0,3
05:03:13.571,69,100,0,0,0,0,3
05:03:13.717,69,100,0,0,0,0,3
05:03:13.717,69,100,0,0,0,0,3
05:03:13.717,69,100,0,0,0,0,3
05:03:13.815,69,100,0,0,0,0,3
05:03:13.815,69,100,0,0,0,0,3
05:03:13.815,69,100,0,0,0,0,3
05:03:13.961,69,100,0,0,0,0,3
05:03:13.961,69,100,0,0,0,0,3
05:03:13.961,69,100,0,0,0,0,3
05:03:14.058,69,100,0,0,0,0,3
05:03:14.058,69,100,0,0,0,0,3
05:03:14.058,69,100,0,0,0,0,3
05:03:14.206,69,100,0,0,0,0,3
05:03:14.206,69,100,0,0,0,0,3
05:03:14.206,69,100,0,0,0,0,3
05:03:14.303,69,100,0,0,0,0,3
05:03:14.303,69,100,0,0,0,0,3
05:03:14.303,69,100,0,0,0,0,3
05:03:14.400,69,100,0,0,0,0,3
05:03:14.400,69,100,0,0,0,0,3
05:03:14.400,69,100,914,100,0,0,3
05:03:14.546,69,100,0,0,0,0,3
05:03:14.546,69,100,0,0,0,0,3
05:03:14.546,69,100,0,0,0,0,3
05:03:14.644,69,100,0,0,0,0,3
05:03:14.644,69,100,0,0,0,0,3
05:03:14.644,69,100,0,0,0,0,3
05:03:14.741,69,100,0,0,0,0,3
05:03:14.741,69,100,0,0,0,0,3
05:03:14.888,69,100,0,0,0,0,3
05:03:14.888,69,100,0,0,0,0,3
05:03:14.888,69,100,0,0,0,0,3
05:03:14.985,69,100,0,0,0,0,3
05:03:14.985,69,100,0,0,0,0,3
05:03:14.985,69,100,0,0,0,0,3
05:03:15.082,69,100,0,0,0,0,3
05:03:15.082,69,100,0,0,0,0,3
05:03:15.082,69,100,0,0,0,0,3
05:03:15.229,69,100,0,0,0,0,3
05:03:15.229,69,100,0,0,0,0,3
05:03:15.229,69,100,0,0,0,0,3
05:03:15.326,69,100,0,0,0,0,3
05:03:15.326,69,100,0,0,0,0,3
05:03:15.326,69,100,0,0,0,0,3
05:03:15.473,69,100,931,100,0,0,3
05:03:15.473,69,100,0,0,0,0,3
05:03:15.473,69,100,0,0,0,0,3
05:03:15.570,69,100,0,0,0,0,3
05:03:15.570,69,100,0,0,0,0,3
05:03:15.570,69,100,0,0,0,0,3
05:03:15.716,69,100,0,0,0,0,3
05:03:15.716,69,100,0,0,0,0,3
05:03:15.716,69,100,0,0,0,0,3
05:03:15.814,69,100,0,0,0,0,3
05:03:15.814,69,100,0,0,0,0,3
05:03:15.814,69,100,0,0,0,0,3
05:03:15.960,69,100,0,0,0,0,3
05:03:15.960,69,100,0,0,0,0,3
05:03:15.960,69,100,0,0,0,0,3
05:03:16.057,69,100,0,0,0,0,3
05:03:16.057,69,100,0,0,0,0,3
05:03:16.057,69,100,0,0,0,0,3
05:03:16.155,69,100,0,0,0,0,3
05:03:16.155,69,100,0,0,0,0,3
05:03:16.252,69,100,0,0,0,0,3
05:03:16.252,69,100,0,0,0,0,3
05:03:16.252,69,100,0,0,0,0,3
05:03:16.399,69,100,922,100,0,0,3
05:03:16.399,69,100,0,0,0,0,3
05:03:16.399,69,100,0,0,0,0,3
05:03:16.496,69,100,0,0,0,0,3
05:03:16.496,69,100,0,0,0,0,3
05:03:16.496,69,100,0,0,0,0,3
05:03:16.594,69,100,0,0,0,0,3
05:03:16.594,69,100,0,0,0,0,3
05:03:16.594,69,100,0,0,0,0,3
05:03:16.740,69,100,0,0,0,0,3
05:03:16.740,69,100,0,0,0,0,3
05:03:16.740,69,100,0,0,0,0,3
05:03:16.837,69,100,0,0,0,0,3
05:03:16.837,69,100,0,0,0,0,3
05:03:16.837,69,100,0,0,0,0,3
05:03:16.985,69,100,0,0,0,0,3
05:03:16.985,69,100,0,0,0,0,3
05:03:16.985,69,100,0,0,0,0,3
05:03:17.081,69,100,0,0,0,0,3
05:03:17.081,69,100,0,0,0,0,3
05:03:17.081,69,100,0,0,0,0,3
05:03:17.228,69,100,917,100,0,0,3
05:03:17.228,69,100,0,0,0,0,3
05:03:17.228,69,100,0,0,0,0,3
05:03:17.374,69,100,0,0,0,0,3
05:03:17.374,69,100,0,0,0,0,3
05:03:17.374,69,100,0,0,0,0,3
05:03:17.471,69,100,0,0,0,0,3
05:03:17.471,69,100,0,0,0,0,3
05:03:17.471,69,100,0,0,0,0,3
05:03:17.521,69,100,0,0,0,0,3
05:03:17.521,69,100,0,0,0,0,3
05:03:17.666,69,100,0,0,0,0,3
05:03:17.666,69,100,0,0,0,0,3
05:03:17.666,69,100,0,0,0,0,3
05:03:17.764,69,100,0,0,0,0,3
05:03:17.764,69,100,0,0,0,0,3
05:03:17.764,69,100,0,0,0,0,3
05:03:17.910,69,100,0,0,0,0,3
05:03:17.910,69,100,0,0,0,0,3
05:03:17.910,69,100,0,0,0,0,3
05:03:18.008,69,100,0,0,0,0,3
05:03:18.008,69,100,0,0,0,0,3
05:03:18.008,69,100,0,0,0,0,3
05:03:18.153,69,100,892,100,0,0,3
05:03:18.153,69,100,0,0,0,0,3
05:03:18.153,69,100,0,0,0,0,3
05:03:18.252,69,100,0,0,0,0,3
05:03:18.252,69,100,0,0,0,0,3
05:03:18.252,69,100,0,0,0,0,3
05:03:18.397,69,100,0,0,0,0,3
05:03:18.397,69,100,0,0,0,0,3
05:03:18.397,69,100,0,0,0,0,3
05:03:18.495,69,100,0,0,0,0,3
05:03:18.495,69,100,0,0,0,0,3
05:03:18.495,69,100,0,0,0,0,3
05:03:18.641,69,100,0,0,0,0,3
05:03:18.641,69,100,0,0,0,0,3
05:03:18.641,69,100,0,0,0,0,3
05:03:18.738,69,100,0,0,0,0,3
05:03:18.738,69,100,0,0,0,0,3
05:03:18.738,69,100,0,0,0,0,3
05:03:18.836,69,100,0,0,0,0,3
05:03:18.836,69,100,0,0,0,0,3
05:03:18.836,69,100,0,0,0,0,3
05:03:18.934,69,100,0,0,0,0,3
05:03:18.934,69,100,0,0,0,0,3
05:03:19.080,69,100,908,100,0,0,3
05:03:19.080,69,100,0,0,0,0,3
05:03:19.080,69,100,0,0,0,0,3
05:03:19.178,69,100,0,0,0,0,3
05:03:19.178,69,100,0,0,0,0,3
05:03:19.178,69,100,0,0,0,0,3
05:03:19.323,69,100,0,0,0,0,3
05:03:19.323,69,100,0,0,0,0,3
05:03:19.323,69,100,0,0,0,0,3
05:03:19.422,69,100,0,0,0,0,3
05:03:19.422,69,100,0,0,0,0,3
05:03:19.422,69,100,0,0,0,0,3
05:03:19.519,69,100,0,0,0,0,3
05:03:19.519,69,100,0,0,0,0,3
05:03:19.519,69,100,0,0,0,0,3
05:03:19.665,69,100,0,0,0,0,3
05:03:19.665,69,100,0,0,0,0,3
05:03:19.665,69,100,0,0,0,0,3
05:03:19.763,69,100,0,0,0,0,3
05:03:19.763,69,100,0,0,0,0,3
05:03:19.763,69,100,0,0,0,0,3
05:03:19.908,69,100,0,0,0,0,3
05:03:19.908,69,100,0,0,0,0,3
05:03:19.908,69,100,914,100,0,0,3
05:03:20.007,69,100,0,0,0,0,3
05:03:20.007,69,100,0,0,0,0,3
05:03:20.007,69,100,0,0,0,0,3
05:03:20.152,69,100,0,0,0,0,3
05:03:20.152,69,100,0,0,0,0,3
05:03:20.152,69,100,0,0,0,0,3
05:03:20.250,69,100,0,0,0,0,3
05:03:20.250,69,100,0,0,0,0,3
05:03:20.250,69,100,0,0,0,0,3
05:03:20.347,69,100,0,0,0,0,3
05:03:20.347,69,100,0,0,0,0,3
05:03:20.445,69,100,0,0,0,0,3
05:03:20.445,69,100,0,0,0,0,3
05:03:20.445,69,100,0,0,0,0,3
05:03:20.591,69,100,0,0,0,0,3
05:03:20.591,69,100,0,0,0,0,3
05:03:20.591,69,100,0,0,0,0,3
05:03:20.688,69,100,0,0,0,0,3
05:03:20.688,69,100,0,0,0,0,3
05:03:20.688,69,100,0,0,0,0,3
05:03:20.835,69,100,0,0,0,0,3
05:03:20.835,69,100,0,0,0,0,3
05:03:20.835,69,100,888,100,0,0,3
05:03:20.932,69,100,0,0,0,0,3
05:03:20.932,69,100,0,0,0,0,3
05:03:20.932,69,100,0,0,0,0,3
05:03:21.078,69,100,0,0,0,0,3
05:03:21.078,69,100,0,0,0,0,3
05:03:21.078,69,100,0,0,0,0,3
05:03:21.176,69,100,0,0,0,0,3
05:03:21.176,69,100,0,0,0,0,3
05:03:21.176,69,100,0,0,0,0,3
05:03:21.324,69,100,0,0,0,0,3
05:03:21.324,69,100,0,0,0,0,3
05:03:21.324,69,100,0,0,0,0,3
05:03:21.420,69,100,0,0,0,0,3
05:03:21.420,69,100,0,0,0,0,3
05:03:21.420,69,100,0,0,0,0,3
05:03:21.566,69,100,0,0,0,0,3
05:03:21.566,69,100,0,0,0,0,3
05:03:21.566,69,100,0,0,0,0,3
05:03:21.663,69,100,0,0,0,0,3
05:03:21.663,69,100,0,0,0,0,3
05:03:21.663,69,100,0,0,0,0,3
05:03:21.714,69,100,0,0,0,0,3
05:03:21.714,69,100,912,100,0,0,3
05:03:21.859,69,100,0,0,0,0,3
05:03:21.859,69,100,0,0,0,0,3
05:03:21.859,69,100,0,0,0,0,3
